,Name,Club,Wage,Attack,Handling_Passing,Physical,Defense,Mental,Goal Keeping
0,Bruno Fernandes,Manchester United,250.0,764.0,439.0,543.0,282.0,265.0,63.0
1,L. Goretzka,FC Bayern München,140.0,694.0,425.0,563.0,329.0,255.0,56.0
2,L. Suárez,Atlético de Madrid,135.0,775.0,413.0,530.0,211.0,270.0,153.0
3,K. De Bruyne,Manchester City,350.0,746.0,460.0,535.0,260.0,268.0,56.0
4,M. Acuña,Sevilla FC,45.0,681.0,417.0,559.0,329.0,251.0,62.0
5,J. Kimmich,FC Bayern München,160.0,652.0,430.0,551.0,337.0,253.0,60.0
6,Paulinho,Al Ahli,61.0,685.0,405.0,566.0,315.0,246.0,57.0
7,G. Wijnaldum,Paris Saint-Germain,115.0,674.0,420.0,574.0,305.0,251.0,54.0
8,E. Can,Borussia Dortmund,72.0,665.0,406.0,562.0,345.0,236.0,54.0
9,A. Griezmann,Atlético de Madrid,220.0,751.0,425.0,574.0,225.0,268.0,63.0
10,L. Modrić,Real Madrid CF,190.0,695.0,445.0,537.0,288.0,258.0,52.0
11,Marcos Llorente,Atlético de Madrid,95.0,644.0,421.0,565.0,319.0,256.0,51.0
12,Sergio Ramos,Paris Saint-Germain,115.0,677.0,384.0,538.0,357.0,253.0,46.0
13,D. Alaba,Real Madrid CF,195.0,682.0,404.0,540.0,324.0,246.0,50.0
14,Merino,Real Sociedad,47.0,664.0,416.0,540.0,325.0,242.0,57.0
15,N. Barella,Inter,120.0,622.0,418.0,579.0,317.0,257.0,54.0
16,Alex Telles,Manchester United,130.0,696.0,398.0,541.0,309.0,233.0,58.0
17,F. de Jong,FC Barcelona,210.0,619.0,441.0,569.0,310.0,255.0,49.0
18,M. Sabitzer,FC Bayern München,110.0,699.0,409.0,543.0,272.0,249.0,66.0
19,J. Cuadrado,Juventus,95.0,669.0,397.0,579.0,314.0,231.0,38.0
20,Koke,Atlético de Madrid,90.0,665.0,419.0,523.0,313.0,257.0,54.0
21,João Cancelo,Manchester City,185.0,642.0,416.0,552.0,315.0,250.0,58.0
22,L. Digne,Everton,110.0,672.0,391.0,559.0,325.0,237.0,46.0
23,F. Kostić,Eintracht Frankfurt,52.0,681.0,403.0,566.0,283.0,241.0,64.0
24,T. Alexander-Arnold,Liverpool,150.0,667.0,427.0,520.0,318.0,240.0,56.0
25,S. Milinković-Savić,Lazio,100.0,681.0,422.0,524.0,310.0,246.0,47.0
26,A. Vidal,Inter,105.0,700.0,399.0,529.0,341.0,239.0,16.0
27,P. Pogba,Manchester United,220.0,732.0,447.0,528.0,273.0,251.0,20.0
28,Casemiro,Real Madrid CF,310.0,634.0,396.0,522.0,353.0,246.0,67.0
29,L. Messi,Paris Saint-Germain,320.0,780.0,469.0,566.0,143.0,283.0,54.0
30,Renato Sanches,LOSC Lille,38.0,640.0,406.0,597.0,298.0,237.0,50.0
31,L. Ocampos,Sevilla FC,46.0,711.0,400.0,554.0,270.0,251.0,53.0
32,Jordi Alba,FC Barcelona,200.0,620.0,408.0,576.0,314.0,243.0,60.0
33,R. Lewandowski,FC Bayern München,270.0,776.0,409.0,562.0,191.0,276.0,51.0
34,M. Salah,Liverpool,270.0,714.0,421.0,591.0,202.0,273.0,62.0
35,Angeliño,RB Leipzig,77.0,649.0,409.0,544.0,311.0,242.0,58.0
36,Cristiano Ronaldo,Manchester United,270.0,798.0,409.0,582.0,148.0,284.0,58.0
37,12 Roberto Carlos,FC Anzhi Makhachkala,30.0,681.0,398.0,541.0,315.0,0.0,54.0
38,Canales,Real Betis Balompié,38.0,688.0,425.0,518.0,274.0,248.0,68.0
39,H. Kane,Tottenham Hotspur,240.0,764.0,426.0,527.0,198.0,277.0,54.0
40,19 Dani Alves,Paris Saint-Germain,60.0,673.0,413.0,532.0,319.0,241.0,38.0
41,M. Brozović,Inter,130.0,662.0,409.0,532.0,327.0,228.0,50.0
42,M. Verratti,Paris Saint-Germain,155.0,594.0,451.0,510.0,340.0,259.0,64.0
43,Saúl,Chelsea,68.0,667.0,409.0,525.0,310.0,241.0,51.0
44,Thiago,Liverpool,180.0,667.0,446.0,521.0,293.0,247.0,46.0
45,J. Veretout,Roma,66.0,657.0,397.0,551.0,319.0,230.0,47.0
46,J. Henderson,Liverpool,140.0,661.0,413.0,512.0,321.0,245.0,49.0
